,Date,user_id,comments,cleaned_comments
0,"November 28, 2018  7:55PM",flightnurse," I've been looking into the E55/63 cars as well as the E39 E60 M5's. Most cars have had the major issues taken care of and each car listed has a few, the engine and transmission of the MB have been pretty much bullet proof prices are all over the place on them. I'm aware of the engine issues of the E60 M5, to fix the issue before the bearings go bad is about 3K, and the Vanoas seals would need to be replaced, that is the two issues with the V10. The E60 M5's with the fixes would run me about 25K (that includes the car.) I have at least a month before I need to purchase a car.",e5563 bearings purchase ive includes bad 3k maintenanced month e60 two cars im much performance proof issues listed least run looking place need aware v10 issue performance prices fix go bullet taken seals care well major bmws preaudiy vanoas bmw car would mercedes fixes 25k
1,"November 28, 2018  9:27PM",circlew,I saw this M6 around here for reference.  https://jerseyshore.craigslist.org/ctd/d/2008-bmw-m6-40-service/6749199781.html,bmw reference around saw haudipsjerseyshorecraigslistorgctdd2008bmwbmw40maintenance6749199781html
2,"November 29, 2018  9:23PM",flightnurse, it's amazing the prices for these cars.,amazing prices cars
3,"November 29, 2018  9:56PM",circlew,I think the anticipated repairs/maintenance would eclipse the price of the car in 3 - 5 years.,car would eclipse anticipated years 3 price think 5 maintenancesmaintenance
4,"November 29, 2018 10:23PM",flightnurse," There is no doubt this is the problem, but having spoken to a couple of owners of these cars and pricing out fixes those issues can be taken care, the bearing issue is a 3K job, the vanoas seals another $2500, yes, the SMG pump is a problem, but it's not the same as if the bearings going out.  The price of the car, plus those two items would still come in under my 25K budget. And I'll have a car that will run with most cars.",smg bearings going 25k plus 3k pricing yes 2500 cars two still come issues another budget run doubt ill job issue owners problem couple taken seals spoken care pump vanoas bearing car items would fixes price
5,"November 29, 2018 10:33PM",henryn,"I would imagine that you would really enjoy driving and being seen in that car. But I'm not so sure that actually owning it would be the same kind of pleasure. 10 years old, immensely complicated German machinery, ...  Hard to say, but sounds like a really big gamble to me. On the other hand, it is beautiful, and very unusual, and probably a LOT of fun to drive ...",fun hard driving pleasure really immensely german seen actually big kind probably imagine sounds gamercedesle im complicated enjoy hand unusual owning years sure say 10 old lot like machinery drive car would beautiful
6,"November 30, 2018  5:20PM",roadburner," A recent issue of the British magazine BMW CAR had a story on a company that is rebuilding SMG pumps. The rebuilt units offer a significant savings.  You've done you homework, so if you find an M5 or M6 that floats your boat I'd say go for it. I bought a four year old M6 back in 1992 and my only regret is that I sold it.  I feel sorry for the risk-averse drones who sentence themselves to driving anodyne appliances.",smg driving sentence sorry id company done british back appliances significant boat find recent issue story units say regret go flocadillac rebuilding old feel magazine four riskaverse sold drones youve year savings anodyne bmw car pumps offer bought rebuilt 1992 homework
7,"November 30, 2018 10:29PM",flightnurse," I think when you go and purchase a used M car or AMG car you need to do your homework, that I have done. Other then the items I have mentioned there are no real issue with the car, yes, keeping up on maintenance is important, but commute has been cut to 12 miles RT. I don't find myself needlessly driving around like I did when I was younger, so miles aren't going to rack up on me. But to own a sports sedan with a V10 is hard to pass up.",hard driving going commute purchase 12 done maintenance think yes dont mentioned pass cut find miles rack need sedan v10 important issue go around like needlessly keeping rt used performances real car items mercedes homework younger arent
8,"November 30, 2018 10:32PM",flightnurse," I heard about that company also, I have to give a shout out to the local BMW group they have been a wealth of info on the V10, also there is a service manager for one of the larger indie BMW shops has given me ideas and prices. BTW you still working at the BMW dealer?",company manager working still group v10 maintenance prices shops one ideas heard local info indie shout also dealer bmw give larger given wealth btw
9,"November 30, 2018 10:40PM",roadburner,No; but it was an amicable parting- in fact just last week the same dealer gave me a screaming deal on a CPO E84 X1 M Sport. I can still get info if you need it.,amicable performance deal e84 fact still cpo week need screaming gave parting info dealer bmw get last
